university_name,scholarship_name,scholarship_type,award_amount,eligibility_criteria,application_deadline,scholarship_url
Aston University,Aston Enterprise Scholarship,Merit Scholarship,Full tuition fee reduction,International students with a business startup idea.,June,
Aston University,Vice-Chancellor's International Scholarship,Merit Scholarship,"£8,000 fee reduction",Outstanding international applicants.,June,
Aston University,Aston Support Scholarship,Need-Based Bursary,"Up to £1,250","UK students with household income up to £32,200.",Automatically assessed,
Bangor University,Vice-Chancellor Scholarship,Merit Scholarship,"Up to £10,000",Outstanding international applicants.,No separate app required,
Bangor University,Bangor Bursary,Need-Based Bursary,"Up to £1,000/year","UK/Home students with household income below £40,000.",Automatically assessed,
Bangor University,International Scholarship,Merit Scholarship,"Up to £4,000 fee reduction",International students meeting standard entry requirements.,No separate app required,
Brunel University London,International Excellence Scholarship,Merit Scholarship,"£6,000 fee waiver in year 1",International students with high academic achievement.,April,
Brunel University London,Brunel Bursary,Need-Based Bursary,"£1,000/year","UK students with household income below £25,000.",Automatically assessed,
Brunel University London,Academic Excellence Scholarship,Merit Scholarship,"£2,000/year",UK students achieving AAA at A-level or equivalent.,Automatically assessed,
Keele University,Keele International Excellence Scholarship,Merit Scholarship,"Up to £5,000 fee reduction",International students exceeding academic entry criteria.,No separate app required,
Keele University,Keele Bursary,Need-Based Bursary,"£1,000/year","UK students with household income below £25,000.",Automatically assessed,
Keele University,Developing Countries Scholarship,Need/Merit,"£1,000 fee reduction",International students from World Bank classified developing countries.,No separate app required,
Lancaster University,Lancaster Global Scholarship,Merit Scholarship,"Up to £3,000 fee reduction",International students achieving high grades.,No separate app required,
Lancaster University,Lancaster Bursary,Need-Based Bursary,"Up to £1,000/year","UK students with household income below £30,000.",Automatically assessed,
Lancaster University,Sanctuary Scholarship,Need/Status,Full tuition + living costs,Asylum seekers.,April,
Loughborough University,Loughborough University Bursary,Need-Based Bursary,"Up to £1,200/year","UK students with household income below £30,000.",Automatically assessed,
Loughborough University,International Scholarships,Merit Scholarship,25% tuition fee reduction,Outstanding international applicants.,No separate app required (assessed on application),
Loughborough University,Sports Scholarships,Talent Scholarship,"Free gym access, coaching + up to £3,000",Elite athletes representing the university.,October,
"Royal Holloway, University of London",International Future Leaders Scholarship,Merit Scholarship,"£6,000 fee reduction",International students demonstrating strong leadership.,March,
"Royal Holloway, University of London",Royal Holloway Bursary,Need-Based Bursary,"Up to £1,500/year","UK students with household income below £30,000.",Automatically assessed,
"Royal Holloway, University of London",Music/Choral Scholarships,Talent Scholarship,"Varies (£300 to £1,500)",Students with exceptional musical talent.,Varies,
Swansea University,Excellence Scholarship,Merit Scholarship,"Up to £3,000",UK students achieving AAA at A-Level.,Automatically assessed,
Swansea University,International Excellence Scholarship,Merit Scholarship,"Up to £6,000 fee reduction",Outstanding international applicants.,June,
Swansea University,Swansea University Bursary,Need-Based Bursary,"Up to £1,000/year",UK/Welsh students from low-income households.,Automatically assessed,
University of East Anglia (UEA),International Excellence Scholarship,Merit Scholarship,"Up to £4,000/year",Outstanding international applicants.,April/May,
University of East Anglia (UEA),UEA Bursary,Need-Based Bursary,"Up to £1,000/year","UK students with household income below £30,000.",Automatically assessed,
University of East Anglia (UEA),Music/Sport Scholarships,Talent Scholarship,"Up to £1,500/year",Students competing at national level or playing instrument at Grade 8+.,October,
University of Bath,Bath Bursary,Need-Based Bursary,"Up to £3,000/year","UK students with household income below £25,000.",Automatically assessed,
University of Bath,Chancellor's Scholarship,Merit Scholarship,"£2,000 fee waiver in Year 1",International students with outstanding academic results (A*A*A).,No separate app required,
University of Bath,Gold Scholarship Programme,Merit/Need,"£5,000/year + mentoring",UK students from widening participation backgrounds.,May,
University of Essex,Academic Excellence International Masters Scholarship,Merit Scholarship,"Up to £5,000 fee discount",High-achieving international postgraduate students.,No separate app required,
University of Essex,Essex Bursary,Need-Based Bursary,"Up to £1,000/year","UK students with household income below £35,000.",Automatically assessed,
University of Essex,Regional Scholarships,Merit Scholarship,"Up to £4,000 fee discount","Applicants from specific global regions (e.g. Africa, Americas, South Asia).",No separate app required,
University of Hull,Fairer Future Global Scholarship,Merit Scholarship,50% tuition fee reduction,International students with outstanding academic potential.,May,
University of Hull,Hull Bursary,Need-Based Bursary,"£1,000/year","UK students with household income below £25,000.",Automatically assessed,
University of Hull,Talented Athlete Programme,Talent Scholarship,Financial support + tailored sports services,Elite athletes competing at high levels.,August,
University of Kent,International Scholarships for Undergraduate Students,Merit Scholarship,"£3,000 fee reduction",Outstanding international applicants.,May,
University of Kent,Kent Financial Support Package,Need-Based Bursary,"Up to £1,500/year","UK students with household income below £30,000.",Automatically assessed,
University of Kent,Academic Excellence Scholarship,Merit Scholarship,"£2,000/year",UK students achieving AAA at A-level or equivalent.,Automatically assessed,
University of Leicester,Citizens of Change Scholarship,Merit Scholarship,50% tuition fee reduction,International students submitting a video response to a specific prompt.,April,
University of Leicester,University of Leicester Bursary,Need-Based Bursary,"£1,000/year","UK students with household income below £25,000.",Automatically assessed,
University of Leicester,Centenary Scholarship,Merit Scholarship,"£2,000 to £4,000/year",International students meeting high academic requirements.,No separate app required,
University of Reading,Vice-Chancellor Global Scholarship,Merit Scholarship,"£4,000 fee reduction",International applicants with outstanding academic profiles.,April,
