university_name,scholarship_name,scholarship_type,award_amount,eligibility_criteria,application_deadline,scholarship_url
Cardiff University,Cardiff University Bursary,Need-Based Bursary,"Up to £1,000/year","UK students with household income below £35,000.",Automatically assessed via Student Finance,
Cardiff University,Vice-Chancellor's International Scholarship,Merit Scholarship,"Up to £2,000 fee reduction",International students exceeding academic entry requirements.,No separate app required,
Cardiff University,Welsh Medium Scholarships,Merit Scholarship,"Up to £3,000 total",Students studying a portion of their degree in Welsh.,Varies,
Durham University,Durham Grant Scheme,Need-Based Bursary,"Up to £2,500/year","UK students with household income below £47,200.",Automatically assessed via Student Finance,
Durham University,"Vice-Chancellor's Scholarships for Sport, Music, and Arts",Talent/Merit,"£2,000/year",Students demonstrating exceptional talent in extracurriculars.,March,
Durham University,Durham Inspired Award,Merit/Need,Varies,Students from low-income backgrounds demonstrating high academic potential.,Varies,
Imperial College London,Imperial Bursary,Need-Based Bursary,"Up to £5,000/year","UK/Home students with a household income up to £70,000.",Automatically assessed via Student Finance,
Imperial College London,President's Undergraduate Scholarships,Merit Scholarship,"£1,000 for the first year",Top academic performers applying to Imperial. Highly selective.,No separate app required,
Imperial College London,Departmental Scholarships,Merit Scholarship,"Varies (e.g., £1,000 - £3,000)","Varies by faculty (e.g. Engineering, Computing) for outstanding achievement.",Varies,
King's College London,King's Living Bursary,Need-Based Bursary,"Up to £1,600/year","UK/Home students with household income up to £42,875.",Automatically assessed via Student Finance,
King's College London,Global Health & Social Medicine Scholarship,Merit Scholarship,"Up to £9,000 fee reduction",International students applying to specific BA/BSc programmes.,April,
King's College London,KCL Sanctuary Scholarships,Need/Status,Full tuition + living costs,Asylum seekers or students with forced migrant status.,April,
London School of Economics and Political Science (LSE),LSE Bursary,Need-Based Bursary,"Up to £4,000/year","UK/Home students with household income up to £42,875.",Automatically assessed via Student Finance,
London School of Economics and Political Science (LSE),LSE Undergraduate Support Scheme,Need-Based Grant,"£6,000 to £15,000/year",International students demonstrating financial need.,April,
London School of Economics and Political Science (LSE),Uggla Family Scholars Programme,Merit/Need,"Full tuition + £21,438/year living costs",UK and Overseas students from low-income backgrounds.,April,
Newcastle University,Newcastle University Opportunity Scholarship,Need-Based Bursary,"Up to £2,000/year","UK students with household income below £35,000.",Automatically assessed via Student Finance,
Newcastle University,Vice-Chancellor's International Scholarships,Merit Scholarship,"£4,000 tuition fee discount",Outstanding international applicants.,No separate app required,
Newcastle University,Sports Scholarships,Talent Scholarship,"Up to £3,000 + coaching",Students representing the university in high-level sport.,October,
Queen's University Belfast,Queen's Bursary,Need-Based Bursary,Up to £455/year (NI) or higher for GB/UK students,"Students from NI/GB with household income below £19,203.",Automatically assessed via Student Finance,
Queen's University Belfast,Vice-Chancellor's International Attainment Scholarship,Merit Scholarship,50% tuition fee reduction,Outstanding international applicants.,June,
Queen's University Belfast,International Office Undergraduate Scholarship,Merit Scholarship,"£2,500 to £3,000 fee discount",International students meeting standard entry requirements.,No separate app required,
Queen Mary University of London,Queen Mary Bursary,Need-Based Bursary,"Up to £1,700/year","UK students with household income below £35,000.",Automatically assessed via Student Finance,
Queen Mary University of London,Global Excellence Scholarships,Merit Scholarship,"£2,000 fee reduction in year 1",International students achieving AAA or higher at A-level or equivalent.,No separate app required,
Queen Mary University of London,"Excellence Scholarships (e.g., Engineering/Science)",Merit Scholarship,"Up to £3,000/year",UK students achieving A*AA or higher.,No separate app required,
University College London (UCL),UCL Undergraduate Bursary,Need-Based Bursary,"Up to £3,000/year","UK students with household income below £42,875.",Automatically assessed via Student Finance,
University College London (UCL),UCL Global Undergraduate Scholarship,Merit/Need,Full tuition + maintenance allowance,Exceptional international students from low-income backgrounds.,April,
University College London (UCL),UCL Access Opportunity Scholarship,Need/Status,"Tuition fees and £11,000 living allowance",Students holding asylum seeker status.,May,
University of Birmingham,Chamberlain Award,Need-Based Bursary,"Up to £2,000/year","UK/Home students with a household income below £36,000.",Automatically assessed via Student Finance,
University of Birmingham,Outstanding Achievement Scholarships,Merit Scholarship,"£3,000 fee reduction in year 1",International/EU students with exceptional academic profiles.,Varies by region,
University of Birmingham,Subject-Specific Scholarships,Merit Scholarship,"Varies (e.g. £1,500 - £3,000)",Students achieving high grades (e.g. A*AA) entering specific colleges like Engineering.,No separate app required,
University of Bristol,University of Bristol Bursary,Need-Based Bursary,"Up to £2,060/year","UK students with household income below £42,875.",Automatically assessed via Student Finance,
University of Bristol,Think Big Undergraduate Scholarships,Merit Scholarship,"£6,500 or £13,000/year fee waiver",International students demonstrating academic excellence and community impact.,Late February,
University of Bristol,Global Accounting and Finance Scholarship,Merit Scholarship,"£13,000/year",International students applying for accounting/finance courses.,Late February,
University of Cambridge,Cambridge Bursary Scheme,Need-Based Bursary,"Up to £3,500/year","UK/Home students with household income below £62,215.",Automatically assessed via Student Finance,
University of Cambridge,Gates Cambridge Scholarships,Merit Scholarship,"Full cost of study (Postgraduate primarily, but notable)",Outstanding intellectual ability and leadership potential.,October/December/January depending on residency,
University of Cambridge,Cambridge Trust Scholarships,Merit/Need,Varies (up to full tuition/maintenance),International/Overseas students demonstrating financial need and outstanding merit.,Varies (Often requires college nomination),
University of Edinburgh,Edinburgh Global Undergraduate Mathematics Scholarships,Merit Scholarship,"£5,000/year",International students applying to the School of Mathematics.,April,
University of Edinburgh,Access Edinburgh Scholarship,Need-Based Bursary,"Up to £3,000/year",UK students from low-income households.,Automatically assessed,
University of Edinburgh,Robertson International Scholarships,Merit Scholarship,"£1,000/year","International students studying at the School of History, Classics and Archaeology.",April,
University of Exeter,Access to Exeter Bursary,Need-Based Bursary,"Up to £2,000 in Year 1","UK students with household income below £30,000.",Automatically assessed via Student Finance,
University of Exeter,Global Excellence Scholarships,Merit Scholarship,"£5,000 or £10,000/year (or full fees)",International students demonstrating outstanding academic achievement.,April,
University of Exeter,Sports Scholarships,Talent Scholarship,"Up to £3,000 + support services",Students competing at a high national/international level in sport.,May,
University of Glasgow,Undergraduate Excellence Scholarship,Merit Scholarship,"£7,000/year fee discount",International students demonstrating excellent academic achievement.,No separate app required,
University of Glasgow,Glasgow Children of Alumni Scholarship,Merit Scholarship,10% tuition fee discount,International students whose parents/grandparents graduated from Glasgow.,Automatically assessed,
University of Glasgow,Access Bursary,Need-Based Bursary,"Up to £3,000/year",Scottish/UK students from low-income backgrounds.,Automatically assessed,
University of Leeds,Leeds Bursary,Need-Based Bursary,"Up to £3,000/year","UK students with household income below £42,875.",Automatically assessed via Student Finance,
University of Leeds,International Excellence Scholarships,Merit Scholarship,"50% fee reduction or £5,000/year",Outstanding international applicants across various faculties.,April,
University of Leeds,Enterprise Scholarships,Merit/Talent,"£3,000 + mentoring",Students demonstrating strong entrepreneurial potential.,May,
University of Liverpool,Liverpool Bursary,Need-Based Bursary,"Up to £2,000/year","UK students with household income below £35,000.",Automatically assessed via Student Finance,
University of Liverpool,Vice-Chancellor's International Attainment Scholarship,Merit Scholarship,"£3,000 fee reduction in year 1",International students achieving AAB or equivalent in A-levels.,No separate app required,
University of Liverpool,Sport Liverpool Scholarships,Talent Scholarship,"Up to £2,000",Elite athletes competing at a national or international level.,October,
University of Manchester,Manchester Bursary,Need-Based Bursary,"Up to £2,000/year","UK students with household income below £35,000.",Automatically assessed via Student Finance,
University of Manchester,Global Futures Scholarship,Merit Scholarship,"£5,000 in Year 1 or up to full tuition",International students demonstrating excellent academic achievement.,June,
University of Manchester,Subject-Specific Excellence Scholarships,Merit Scholarship,"Varies (typically £1,000 - £2,000/year)","High achievers in specific departments (e.g. Physics, Engineering).",No separate app required,
University of Nottingham,Nottingham Core Bursary,Need-Based Bursary,"Up to £1,000/year","UK students with household income below £35,000.",Automatically assessed via Student Finance,
University of Nottingham,International Undergraduate Excellence Award,Merit Scholarship,"£2,000 to £7,000 fee reduction in year 1",International students demonstrating academic excellence.,April,
University of Nottingham,High Achiever Scholarships (e.g. Engineering),Merit Scholarship,"Varies (£1,000 to £3,000)",Students achieving AAA or higher at A-level entering specific faculties.,No separate app required,
University of Oxford,Crankstart Scholarship,Need-Based Bursary,"Up to £6,090/year","UK residents with a household income of £32,500 or less.",Automatically assessed via Student Finance,
University of Oxford,Oxford Bursary,Need-Based Bursary,"Up to £4,000/year","UK residents with a household income between £32,500 and £42,875.",Automatically assessed via Student Finance,
University of Oxford,Reach Oxford Scholarships,Merit/Need,Tuition fees + living expenses + flights,Students from low-income countries who cannot study in their own countries.,February,
University of Oxford,Simon and June Li Undergraduate Scholarship,Merit/Need,Tuition fees + living expenses,Undergraduate applicants from Asia demonstrating exceptional academic merit and financial need.,February,
University of Sheffield,Sheffield Bursary Scheme,Need-Based Bursary,"Up to £1,230/year","UK students with household income below £40,000.",Automatically assessed via Student Finance,
University of Sheffield,International Undergraduate Merit Scholarship,Merit Scholarship,50% tuition fee reduction,Outstanding international applicants across specific subjects.,April,
University of Sheffield,Experience Sheffield Scholarships,Need/Merit,"£1,200/year",UK students from widening participation backgrounds.,April,
University of Southampton,Southampton Bursary,Need-Based Bursary,"Up to £2,000/year","UK students with household income below £30,000.",Automatically assessed via Student Finance,
University of Southampton,International Merit Scholarships,Merit Scholarship,"Up to £3,000 fee reduction",International students exceeding academic entry requirements.,No separate app required,
University of Southampton,Ignite Your Success Scholarship,Merit/Need,"£10,000/year",UK students from underrepresented backgrounds achieving high grades.,May,
University of Warwick,Warwick Bursary,Need-Based Bursary,"Up to £2,000/year","UK students with household income below £35,000.",Automatically assessed via Student Finance,
University of Warwick,Warwick Undergraduate Global Excellence Scholarship,Merit Scholarship,"Full tuition or £13,000/year fee reduction",Outstanding international applicants.,March,
University of Warwick,Multicultural Scholars' Programme,Diversity/Need,"£2,000/year + mentoring",UK students from specific ethnic backgrounds entering Law or Business.,May,
University of York,York Bursary,Need-Based Bursary,"Up to £2,000/year","UK students with household income below £35,000.",Automatically assessed via Student Finance,
University of York,Be Exceptional Scholarships,Merit Scholarship,"£2,500 to £7,500 fee reduction",International students demonstrating excellent academic achievement.,March/April,
University of York,Vice-Chancellor's Scholarships,Merit Scholarship,"£10,000 to £20,000 fee reduction",The highest achieving international students.,March/April,
