university_name,scholarship_name,scholarship_type,award_amount,eligibility_criteria,application_deadline,scholarship_url
Brown University,University Scholarship (Brown Grant),Need-Based Grant,Varies up to full cost of attendance,Demonstrated financial need; domestic and international students,Varies (typically matching admission deadlines),https://finaid.brown.edu/types-aid/scholarships-and-grants
Brown University,Federal Pell Grant,Federal Grant,"Up to ~$7,395/year",High financial need; U.S. citizens/eligible noncitizens,Determined by FAFSA,https://finaid.brown.edu/types-aid/scholarships-and-grants
Brown University,Federal Supplemental Educational Opportunity Grant (SEOG),Federal Grant,Varies,Exceptional financial need; Pell Grant recipients prioritized,Determined by FAFSA,https://finaid.brown.edu/types-aid/scholarships-and-grants
Brown University,State Grants,State Grant,Varies by state,Residency and financial need,Varies by state,https://finaid.brown.edu/types-aid/scholarships-and-grants
Brown University,Outside Scholarships (Administered by Brown),External/Merit,Varies,Merit or specific criteria from external organizations,Varies by organization,https://finaid.brown.edu/types-aid/scholarships-and-grants
Columbia University,Columbia Grant,Need-Based Grant,"Varies up to full cost of attendance (average ~$70,000)",Demonstrated financial need; guaranteed for all 4 years if need remains,Early Decision/Regular Decision deadlines,https://cc-seas.financialaid.columbia.edu/types/grants-scholarships
Columbia University,Federal Pell Grant,Federal Grant,"Up to ~$7,395/year",High financial need; U.S. citizens/eligible noncitizens,FAFSA Priority Deadline,https://cc-seas.financialaid.columbia.edu/types/grants-scholarships
Columbia University,Federal SEOG Grant,Federal Grant,Varies,Exceptional financial need; Pell Grant eligible,FAFSA Priority Deadline,https://cc-seas.financialaid.columbia.edu/types/grants-scholarships
Columbia University,New York State TAP,State Grant,"Up to $5,665/year",New York State residents with financial need,State deadline,https://cc-seas.financialaid.columbia.edu/types/grants-scholarships
Columbia University,Global Center Scholarships,Need-Based/Endowed,Varies,Specific regional or academic criteria based on financial need,Matching financial aid deadline,https://cc-seas.financialaid.columbia.edu/types/grants-scholarships
Cornell University,Cornell University Grant,Need-Based Grant,Varies up to full cost of attendance,Demonstrated financial need; calculated via CSS Profile and FAFSA,Varies (Typically Nov/Jan based on admission phase),https://finaid.cornell.edu/types-aid/grants-and-scholarships
Cornell University,Federal Pell Grant,Federal Grant,"Up to ~$7,395/year",High financial need; U.S. citizens/eligible noncitizens,Determined by FAFSA,https://finaid.cornell.edu/types-aid/grants-and-scholarships
Cornell University,Federal SEOG Grant,Federal Grant,Varies,Exceptional financial need; Pell Grant eligible,Determined by FAFSA,https://finaid.cornell.edu/types-aid/grants-and-scholarships
Cornell University,New York State TAP,State Grant,"Up to $5,665/year",New York State residents attending NY colleges,June 30 of academic year,https://finaid.cornell.edu/types-aid/grants-and-scholarships
Cornell University,Endowed Scholarships,Need-Based/Endowed,Varies,Based on specific donor criteria but awarded strictly based on financial need,No separate application,https://finaid.cornell.edu/types-aid/grants-and-scholarships
Dartmouth College,Dartmouth Endowed Scholarships,Need-Based Grant,Varies up to full cost of attendance,Demonstrated financial need; automatically considered during financial aid review,Early Decision/Regular Decision deadlines,https://financialaid.dartmouth.edu/types-aid/grants-scholarships
Dartmouth College,Dartmouth General Scholarship,Need-Based Grant,Varies,Institutional grant for students whose need isn't covered by endowed funds,Early Decision/Regular Decision deadlines,https://financialaid.dartmouth.edu/types-aid/grants-scholarships
Dartmouth College,Federal Pell Grant,Federal Grant,"Up to ~$7,395/year",High financial need; U.S. citizens/eligible noncitizens,FAFSA Priority Deadline,https://financialaid.dartmouth.edu/types-aid/grants-scholarships
