university_name,scholarship_name,scholarship_type,award_amount,eligibility_criteria,application_deadline,scholarship_url
American University,Frederick Douglass Scholarship,Merit/Need,"Full tuition, room, board, and books",High academic achievement and commitment to social justice. Must demonstrate financial need.,Dec 15,
American University,AU Presidential Scholarship,Merit Scholarship,Partial to full tuition,Top academic performance. Automatically considered upon admission.,Jan 15,
American University,AU Need-Based Grant,Need-Based Grant,Varies,Demonstrated financial need via CSS Profile and FAFSA.,Jan 15,
Arizona State University,New American University Scholarship (President's/Provost's),Merit Scholarship,Varies by residency (Up to $15k+),High GPA and test scores. Auto-considered upon admission.,May 1,
Arizona State University,Obama Scholars Program,Need-Based/State,"Covers full demonstrated need (tuition, room, board)",Arizona residents with family income under $42k.,Jan 15,
Arizona State University,College Attainment Grant,Need-Based Grant,Tuition coverage,Arizona residents who are Pell-eligible.,July 1,
Boston College,Presidential Scholars Program,Merit Scholarship,Full tuition,Top 1-2% of Early Action applicants demonstrating leadership.,Nov 1 (Early Action),
Boston College,Boston College Need-Based Grant,Need-Based Grant,Meets 100% of demonstrated need,Admitted students with demonstrated need via CSS Profile.,Regular Decision deadline,
Boston University,Trustee Scholarship,Merit Scholarship,Full undergraduate tuition + fees,Top academic students demonstrating exceptional leadership.,Dec 1,
Boston University,Presidential Scholarship,Merit Scholarship,"$25,000 per year",Academic excellence and extracurricular involvement.,Dec 1,
Boston University,BU Scholarship Assurance (Need-Based),Need-Based Grant,Meets 100% of demonstrated need,Available for all admitted domestic students. Need matched without loans.,Jan 1,
Brandeis University,Wien International Scholarship,Merit/Need,Meets full demonstrated need,Exceptional international students.,Jan 1,
Brandeis University,Justice Brandeis Scholar,Merit Scholarship,"$10,000 to $20,500/year",Outstanding academic achievement and community involvement.,Jan 1,
Brandeis University,Alumni Scholars,Merit Scholarship,Varies,Strong academic record and engagement.,Jan 1,
Case Western Reserve University,University Scholarships,Merit Scholarship,"$10,000 to $35,000/year",Top academic performance; automatically considered upon admission.,Jan 15,
Case Western Reserve University,Michelson-Morley Scholarship,Merit Scholarship,Varies,Outstanding students in STEM fields.,Jan 15,
Case Western Reserve University,CWRU Need-Based Grant,Need-Based Grant,Meets 100% of demonstrated need,Demonstrated financial need via CSS Profile.,Jan 15,
Clemson University,National Scholars Program,Merit Scholarship,"Full tuition, room, board + enrichment",Top-tier applicants demonstrating academic excellence and leadership.,Dec 1,
Clemson University,Palmetto Fellows Scholarship,State Merit,"Up to $6,700 (freshman), $7,500 (upperclassmen)",SC residents with high GPA/Test scores.,June 15,
Clemson University,LIFE Scholarship,State Merit,"Up to $5,000/year",SC residents meeting state academic criteria.,No separate app,
College of William & Mary,1693 Scholars Program,Merit Scholarship,"In-state: full tuition, room/board; Out-of-state: partial",Top applicants demonstrating exceptional academic achievements.,Jan 1,
College of William & Mary,Monroe Scholars Program,Merit Scholarship,"$3,000 summer research stipend",Top 7% of admitted students.,Jan 1,
College of William & Mary,W&M Promise,Need-Based Grant,Meets 100% of demonstrated need,In-state students with demonstrated need.,March 1,
Colorado State University,Green and Gold Scholarship,Merit Scholarship,"$2,500 to $10,000/year",Non-resident students demonstrating academic excellence.,May 1,
Colorado State University,Partnership Award,Merit Scholarship,"$2,500/year",Colorado residents demonstrating high academic achievement.,May 1,
Colorado State University,CSU Tuition Assistance Grant,Need-Based Grant,Varies,Colorado residents who are Pell-eligible.,March 1,
