university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Brown University,Providence,Department of Africana Studies,BA,Africana Studies,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/africana-studies-ab
Brown University,Providence,Department of American Studies,BA,American Studies,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/american-studies-ab
Brown University,Providence,Department of Anthropology,BA,Anthropology,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/anthropology-ab
Brown University,Providence,Division of Applied Mathematics,BA,Applied Mathematics,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/applied-mathematics-ab-scb
Brown University,Providence,Division of Applied Mathematics,BSc,Applied Mathematics,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/applied-mathematics-ab-scb
Brown University,Providence,Division of Applied Mathematics,BSc,Applied Mathematics - Biology,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/applied-mathematics-biology-scb
Brown University,Providence,Division of Applied Mathematics,BSc,Applied Mathematics - Computer Science,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/applied-mathematics-computer-science-scb
Brown University,Providence,Department of Economics,BA,Applied Mathematics - Economics,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/applied-mathematics-economics-ab-scb
Brown University,Providence,Department of Economics,BSc,Applied Mathematics - Economics,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/applied-mathematics-economics-ab-scb
Brown University,Providence,Joukowsky Institute for Archaeology & the Ancient World,BA,Archaeology and the Ancient World,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/archaeology-and-ancient-world-ab
Brown University,Providence,Department of History of Art and Architecture,BA,Architecture,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/architecture-ab
Brown University,Providence,Department of Physics,BA,Astronomy,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/astronomy-ab
Brown University,Providence,Department of Cognitive and Psychological Sciences,BA,Behavioral Decision Sciences,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/behavioral-decision-sciences-ab
Brown University,Providence,Biology Undergraduate Education,BSc,Biochemistry and Molecular Biology,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/biochemistry-and-molecular-biology-scb
Brown University,Providence,Biology Undergraduate Education,BA,Biology,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/biology-ab-scb
Brown University,Providence,Biology Undergraduate Education,BSc,Biology,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/biology-ab-scb
Brown University,Providence,School of Engineering,BSc,Biomedical Engineering,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/biomedical-engineering-scb
Brown University,Providence,Biology Undergraduate Education,BSc,Biophysics,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/biophysics-scb
Brown University,Providence,The College,BA,"Business, Entrepreneurship, and Organizations",4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/business-entrepreneurship-and-organizations-ab
Brown University,Providence,School of Engineering,BSc,Chemical Engineering,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/chemical-engineering-scb
Brown University,Providence,Department of Chemistry,BSc,Chemical Physics,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/chemical-physics-scb
Brown University,Providence,Department of Chemistry,BA,Chemistry,4 Years,High school diploma; strong academic record; no minimum GPA published; competitive applicants typically SAT 1470-1570 / ACT 33-35,SAT or ACT required (no minimum score); TOEFL 100+ or IELTS 7.0+ for non-English-speaking international students,"Domestic/International: $71,700/year",05-Jan-2026,https://www.brown.edu/undergraduate-programs/chemistry-ab-scb
