university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
American University,"Washington, D.C.",School of International Service,BA,International Studies,4 Years,High school diploma; Competitive academic standing; Strong personal statement,Test Optional (SAT/ACT not required); TOEFL 100+ / IELTS 7.0+ (International),"Tuition: ~$58,300/year; Total Cost: ~$80,000/year",15-Jan-2027 (Regular Decision),https://www.american.edu/sis/undergraduate/
American University,"Washington, D.C.",School of Public Affairs,BA/BS,BA/BS in Political Science,4 Years,High school diploma; Competitive academic standing; Strong personal statement,Test Optional (SAT/ACT not required); TOEFL 100+ / IELTS 7.0+ (International),"Tuition: ~$58,300/year; Total Cost: ~$80,000/year",15-Jan-2027 (Regular Decision),https://www.american.edu/spa/
American University,"Washington, D.C.",School of Public Affairs,BA/BS,BA/BS in Justice and Law,4 Years,High school diploma; Competitive academic standing; Strong personal statement,Test Optional (SAT/ACT not required); TOEFL 100+ / IELTS 7.0+ (International),"Tuition: ~$58,300/year; Total Cost: ~$80,000/year",15-Jan-2027 (Regular Decision),https://www.american.edu/spa/
American University,"Washington, D.C.",School of Public Affairs,BA/BS,"BA/BS in CLEG (Communication, Legal Institutions, Economics, and Government)",4 Years,High school diploma; Competitive academic standing; Strong personal statement,Test Optional (SAT/ACT not required); TOEFL 100+ / IELTS 7.0+ (International),"Tuition: ~$58,300/year; Total Cost: ~$80,000/year",15-Jan-2027 (Regular Decision),https://www.american.edu/spa/
American University,"Washington, D.C.",School of Public Affairs,BA/BS,BA/BS in Data Sciences for Political Science,4 Years,High school diploma; Competitive academic standing; Strong personal statement,Test Optional (SAT/ACT not required); TOEFL 100+ / IELTS 7.0+ (International),"Tuition: ~$58,300/year; Total Cost: ~$80,000/year",15-Jan-2027 (Regular Decision),https://www.american.edu/spa/
American University,"Washington, D.C.",Kogod School of Business,BSBA,BSBA in Accounting,4 Years,High school diploma; Competitive academic standing; Strong personal statement,Test Optional (SAT/ACT not required); TOEFL 100+ / IELTS 7.0+ (International),"Tuition: ~$58,300/year; Total Cost: ~$80,000/year",15-Jan-2027 (Regular Decision),https://www.american.edu/kogod/
American University,"Washington, D.C.",Kogod School of Business,BSBA,BSBA in Business Administration,4 Years,High school diploma; Competitive academic standing; Strong personal statement,Test Optional (SAT/ACT not required); TOEFL 100+ / IELTS 7.0+ (International),"Tuition: ~$58,300/year; Total Cost: ~$80,000/year",15-Jan-2027 (Regular Decision),https://www.american.edu/kogod/
American University,"Washington, D.C.",Kogod School of Business,BSBA,BSBA in Business and Entertainment,4 Years,High school diploma; Competitive academic standing; Strong personal statement,Test Optional (SAT/ACT not required); TOEFL 100+ / IELTS 7.0+ (International),"Tuition: ~$58,300/year; Total Cost: ~$80,000/year",15-Jan-2027 (Regular Decision),https://www.american.edu/kogod/
American University,"Washington, D.C.",Kogod School of Business,BSBA,BSBA in Finance,4 Years,High school diploma; Competitive academic standing; Strong personal statement,Test Optional (SAT/ACT not required); TOEFL 100+ / IELTS 7.0+ (International),"Tuition: ~$58,300/year; Total Cost: ~$80,000/year",15-Jan-2027 (Regular Decision),https://www.american.edu/kogod/
American University,"Washington, D.C.",Kogod School of Business,BSBA,BSBA in Real Estate,4 Years,High school diploma; Competitive academic standing; Strong personal statement,Test Optional (SAT/ACT not required); TOEFL 100+ / IELTS 7.0+ (International),"Tuition: ~$58,300/year; Total Cost: ~$80,000/year",15-Jan-2027 (Regular Decision),https://www.american.edu/kogod/
