university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Brock University,St. Catharines,Goodman School of Business,BAcc,Accounting,4 Years,Pakistan HSSC/Intermediate with English and two senior academic mathematics subjects. Admission is competitive; Goodman School programs generally expect results comparable to the mid-to-high 80% range.,IELTS Academic 7.0 overall (min 6.5 each band); TOEFL iBT 100 with Brock's required section minimums; applies to Co-op Accounting or teacher-education English requirements,"Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/accounting/
Brock University,St. Catharines,Faculty of Education,BA,Adult Education,3-4 Years; online,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/adult-education/
Brock University,St. Catharines,Faculty of Mathematics and Science,BSc,Applied Grape and Wine Science,4 Years,"Pakistan HSSC/Intermediate, normally Pre-Medical, Pre-Engineering or ICS as applicable, with English, Grade 12-equivalent mathematics and the required laboratory-science subjects. Required mathematics/science prerequisites normally need at least 70%; admission is competitive.","IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/applied-grape-and-wine-science/
Brock University,St. Catharines,Faculty of Social Sciences,BA,Applied Linguistics,4 Years,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/applied-linguistics/
Brock University,St. Catharines,Faculty of Humanities,BA,Arts Leadership,4 Years,Pakistan Intermediate/Higher Secondary School Certificate (HSSC) from a recognized board. Applicants must present five senior academic subjects including English and meet the competitive average and subject prerequisites shown for the program; most Brock programs expect results comparable to the mid-to-high 70% range or above.,"IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/arts-leadership/
Brock University,St. Catharines,Faculty of Mathematics and Science,BSc,Biochemistry,4 Years,"Pakistan HSSC/Intermediate, normally Pre-Medical, Pre-Engineering or ICS as applicable, with English, Grade 12-equivalent mathematics and the required laboratory-science subjects. Required mathematics/science prerequisites normally need at least 70%; admission is competitive.","IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/biochemistry/
Brock University,St. Catharines,Faculty of Mathematics and Science,BSc,Biological Sciences,4 Years,"Pakistan HSSC/Intermediate, normally Pre-Medical, Pre-Engineering or ICS as applicable, with English, Grade 12-equivalent mathematics and the required laboratory-science subjects. Required mathematics/science prerequisites normally need at least 70%; admission is competitive.","IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/biological-sciences/
Brock University,St. Catharines,Faculty of Applied Health Sciences,BSc,Biomedical Sciences,4 Years,"Pakistan HSSC/Intermediate with English and the program's required biology, chemistry and/or mathematics subjects. Competitive health programs generally expect results in the high 70s to mid 80s or above, with stated prerequisite minimums.","IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/biomedical-sciences/
Brock University,St. Catharines,Faculty of Mathematics and Science,BSc,Biophysics,4 Years,"Pakistan HSSC/Intermediate, normally Pre-Medical, Pre-Engineering or ICS as applicable, with English, Grade 12-equivalent mathematics and the required laboratory-science subjects. Required mathematics/science prerequisites normally need at least 70%; admission is competitive.","IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/biophysics/
Brock University,St. Catharines,Faculty of Mathematics and Science,BSc,Biotechnology,4 Years,"Pakistan HSSC/Intermediate, normally Pre-Medical, Pre-Engineering or ICS as applicable, with English, Grade 12-equivalent mathematics and the required laboratory-science subjects. Required mathematics/science prerequisites normally need at least 70%; admission is competitive.","IELTS Academic 6.5 overall (min 6.0 each band); TOEFL iBT 88 (min 21 each section) on the legacy scale, or 4.5 overall on the current scale with Brock's skill minimums","Domestic: official 2026-27 program-specific tuition | International: official 2026-27 program-specific tuition; ancillary, health-insurance, course, studio and co-op fees may be extra",15-Jan-2027,https://brocku.ca/programs/undergraduate/biotechnology/
